2025-08-31 22:53:42.332 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:42.556 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:42.783 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:43.004 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:43.228 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:43.449 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:43.675 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:43.899 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:44.124 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:44.347 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:44.571 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:44.792 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:45.017 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:45.239 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
